table,section,item,final_G,final_A,final_C,final_F,final_M,final_R,reserve_potential,risk_surface,hazard,regime,minimum_state,maximum_state,hazard_reduction_pct,reserve_gain_pct,ug,parameter,PRCC_reserve,PRCC_hazard,elasticity_reserve,elasticity_hazard,rtol,atol,A0,F0
continuation,,,0.3060494423209252,0.1547416316703603,0.0766594007068837,0.12152786608582881,0.09542181229937081,0.6469764491657244,0.5137261113872451,-0.19375314325861354,0.32081582164676664,Preserved,0.07648842524769273,0.74,,,0.15000000000000002,,,,,,,,,
continuation,,,0.31304411050388314,0.15784918012643176,0.07808721732803807,0.12379555737386103,0.09733092672284999,0.6429172071789842,0.5069179405721491,-0.18900256346461325,0.3291525356589716,Preserved,0.07758789960434735,0.74,,,0.155,,,,,,,,,
continuation,,,0.31990084987745654,0.16088525452044125,0.07948408167899157,0.1260134989944618,0.09920004264194528,0.6389788480428042,0.5002891556592406,-0.18436861754978526,0.3373895775099483,Preserved,0.07853540138867827,0.74,,,0.16,,,,,,,,,
continuation,,,0.326623580436409,0.16385207372425384,0.08085087922558258,0.12818316349557204,0.10103028924233765,0.6351563899941987,0.49383305451427384,-0.17984722821012164,0.3455228657973062,Preserved,0.07936300546944688,0.74,,,0.165,,,,,,,,,
continuation,,,0.33321608230766514,0.16675177573804909,0.08218846678064011,0.13030597227312468,0.10282275874683199,0.631445107278381,0.48754325158280865,-0.17543449878722736,0.3535488452061532,Preserved,0.08009408430432638,0.74,,,0.16999999999999998,,,,,,,,,
continuation,,,0.3396820015477446,0.16958642077150363,0.08349767335753826,0.13238329741175928,0.10457850761760894,0.6278405145840339,0.4814136600392589,-0.17112670369376376,0.3614644558226493,Preserved,0.08074620246855384,0.74,,,0.175,,,,,,,,,
continuation,,,0.3460248556647581,0.1723579942324162,0.08477930103061106,0.13441646347993175,0.10629855774397846,0.6243383525841446,0.4754384751145395,-0.16692027943266277,0.36926710248804956,Preserved,0.08133276777552129,0.74,,,0.18,,,,,,,,,
continuation,,,0.35224803883837713,0.1750684096216829,0.0860341258190498,0.1364067492912353,0.10798389762063607,0.6209345745028241,0.4696121585209381,-0.1628118161700125,0.3769546244661063,Preserved,0.08186416324006546,0.74,,,0.185,,,,,,,,,
continuation,,,0.3583548270125798,0.17771951131057923,0.08726289847658744,0.13835538956233465,0.10963548345145772,0.6176253335170049,0.4639294238067605,-0.15879804979395573,0.384525265710534,Preserved,0.08234861132912395,0.74,,,0.19,,,,,,,,,
continuation,,,0.36434838262847336,0.18031307724018802,0.08846634535982432,0.14026357657204241,0.11125424027582971,0.6144069711009229,0.45838522270857285,-0.15487585447183835,0.39197764583524575,Preserved,0.08279273989682073,0.74,,,0.195,,,,,,,,,
continuation,,,0.3702317592730476,0.18285082150500714,0.08964516918997532,0.14213246171196667,0.11284106301586112,0.611276006069945,0.45297473229468366,-0.1510422356264305,0.399310732028559,Preserved,0.08320196673758326,0.74,,,0.2,,,,,,,,,
continuation,,,0.37600790599368883,0.1853343968562895,0.09080004987957682,0.14396315703290694,0.11439681753623109,0.6082291244227943,0.4476933429634823,-0.14729432334320158,0.40652381195343035,Constrained,0.08358076335694303,0.74,,,0.20500000000000002,,,,,,,,,
continuation,,,0.3816796715551644,0.1877653970977356,0.09193164525451017,0.14575673668633954,0.11592234162983663,0.6052631697848034,0.4425366471270713,-0.14362936614309046,0.41361646779737804,Constrained,0.08393255555885674,0.74,,,0.21000000000000002,,,,,,,,,
continuation,,,0.38724980835204215,0.19014535940280072,0.09304059185082669,0.14751423837057862,0.117418446018545,0.6023751345468771,0.43750042864427574,-0.14004472513464788,0.42058855146266844,Constrained,0.08426075198789736,0.74,,,0.21500000000000002,,,,,,,,,
continuation,,,0.3927209763325441,0.1924757665299175,0.0941275055817041,0.14923666465928148,0.11888591527140177,0.5995621514986876,0.43258065282874697,-0.13653786847833857,0.42744016102443916,Constrained,0.08456764299450467,0.74,,,0.22000000000000003,,,,,,,,,
continuation,,,0.3980957465427139,0.19475804896293317,0.09519298250355589,0.1509249843523987,0.1203255087474425,0.596821486083892,0.4277734571279156,-0.13310636619028915,0.43417161838610074,Constrained,0.08485550975629082,0.74,,,0.22499999999999998,,,,,,,,,
continuation,,,0.4033766046958705,0.19699358695816793,0.09623759945685105,0.15258013371473192,0.12173796146100561,0.594150529075809,0.4230751422965438,-0.12974788521693362,0.4407834482340203,Constrained,0.08512646629752196,0.74,,,0.22999999999999998,,,,,,,,,
continuation,,,0.4085659544978825,0.19918371251425657,0.09726191473794589,0.15420301769859937,0.12312398494099801,0.5915467897521638,0.4184821641226605,-0.12646018479606919,0.44727635821928496,Constrained,0.08538198368010581,0.74,,,0.235,,,,,,,,,
