ug,final_G,final_A,final_C,final_F,final_M,final_R,reserve_potential,risk_surface,hazard,regime,minimum_state,maximum_state
0.6,0.6382933495346264,0.28899455727151757,0.13994760839736367,0.22194155072012642,0.18205058821446285,0.4951146401341903,0.23733692699128595,0.007047366997034926,0.7019035555258598,Depleted,0.09184062659502887,0.74
0.605,0.6402073580345343,0.2896813859744828,0.14027809357837284,0.222468514124907,0.18251811469337878,0.4944503831173399,0.23599680789717575,0.008065029823987602,0.7036041957720823,Depleted,0.09187594271514742,0.74
0.61,0.6421012091535557,0.29035996296396144,0.14060464795648928,0.22298927588584927,0.1829802925563236,0.4937951375944808,0.23467333112294747,0.00907051507346568,0.7052789579068054,Depleted,0.09191112964106414,0.74
0.615,0.6439752199174413,0.29103043409370216,0.14092733976564675,0.22350394314319214,0.18343721185826584,0.49314872442568924,0.2333661897727517,0.010064039354874488,0.7069283740651119,Depleted,0.09194474245067306,0.74
0.62,0.6458297007355467,0.29169294185567385,0.14124623570479566,0.22401262062718286,0.18388896067681357,0.4925109691013407,0.23207508439202051,0.011045814204112298,0.7085529633348735,Depleted,0.09197821755554018,0.74
0.625,0.6476649555700994,0.29234762547336496,0.14156140098129882,0.2245154107248021,0.18433562516509464,0.4918817016003016,0.23079972274990995,0.01201604622766514,0.7101532320991744,Depleted,0.09201157277676972,0.74
0.63,0.6494812821011562,0.2929946209924226,0.14187289935240124,0.22501241354407517,0.18477728960297765,0.4912607562517883,0.22953981962773812,0.012974937242648227,0.7117296743717335,Depleted,0.09204480866829845,0.74
0.635,0.6512789718879507,0.293634061369079,0.1421807931643766,0.22550372697586976,0.18521403644670853,0.49064797159971735,0.2282950966121181,0.013922684413497727,0.7132827721262318,Depleted,0.09207662925568032,0.74
0.64,0.6530583105252479,0.2942660765556767,0.14248514339050153,0.22598944675376267,0.18564594637701615,0.4900431902721297,0.22706528189540381,0.014859480383999535,0.7148129956171577,Depleted,0.09210822451335304,0.74
0.645,0.6548195777948737,0.29489079358339815,0.14278600966790317,0.22646966651204603,0.18607309834574173,0.4894462588554789,0.22585011008316036,0.01578551340483486,0.716320803692303,Depleted,0.092139709143038,0.74
0.65,0.6565630478261506,0.2955083366506161,0.14308345032233624,0.2269444778369474,0.1864955696212595,0.48885702774298095,0.22464932197673543,0.016700967472945444,0.717806644123189,Depleted,0.09217108364460794,0.74
0.655,0.6582889892084325,0.2961188271819516,0.14337752242686574,0.2274139703321066,0.1869134358317961,0.48827535108609976,0.22346266446437912,0.017606022414700995,0.7192709538428494,Depleted,0.09220157295413586,0.74
0.6599999999999999,0.6599976651537491,0.29672238391815847,0.14366828181593133,0.22787823166236373,0.18732677100830195,0.48770108662658357,0.2222898902905736,0.018500854030366304,0.7207141592819365,Depleted,0.09223137478621042,0.74
0.6649999999999999,0.6616893336248898,0.2973191229851096,0.1439557831226181,0.22833734760708466,0.18773564762556816,0.487134095601617,0.22113075790273912,0.019385634198319013,0.7221366766377173,Depleted,0.09226107462146091,0.74
0.6699999999999999,0.6633642474653317,0.29790915796399076,0.1442400798103352,0.22879140210978094,0.18814013664218412,0.486574242639641,0.21998503128995384,0.020260530982577962,0.7235389121468955,Depleted,0.09229067291128101,0.74
0.6749999999999999,0.6650226545256185,0.2984925999594619,0.14452122420330216,0.22924047732610245,0.18854030753930193,0.48602139565919267,0.21885247982640932,0.02112570873718128,0.7249212623516375,Depleted,0.09232017010280498,0.74
0.6799999999999999,0.666664797785982,0.2990695576656587,0.14479926751614727,0.22968465367037874,0.18893622835824259,0.48547542577137737,0.21773287812017866,0.02198132820714338,0.7262841143583152,Depleted,0.0923483712287522,0.74
0.6849999999999999,0.6682909154753303,0.29964013743011103,0.14507425988265302,0.23012400986076118,0.18932796573698457,0.48493620718582886,0.2166260058670958,0.022827546626118078,0.7276278460891267,Depleted,0.09237636785664893,0.74
0.69,0.6699012411931208,0.3002044433203826,0.14534625037767948,0.2305586229602965,0.18971558494578022,0.4844036171014454,0.21553164769049876,0.023664517820547903,0.728952826542025,Depleted,0.0924042709430199,0.74
0.695,0.6714960040112388,0.30076257717648436,0.14561528705368768,0.23098856842373447,0.1900991499211712,0.4838775356489365,0.2144495930355793,0.02449239228545233,0.7302594160036993,Depleted,0.0924320808904765,0.74
0.7,0.6730754285852115,0.30131463867059693,0.14588141696504278,0.23141392013777273,0.19047872329939466,0.48335784579960206,0.21337963603043608,0.02531131727648267,0.7315479662865588,Depleted,0.09245979809945792,0.74
0.705,0.6746397352650659,0.3018607253672339,0.14614468618867793,0.23183475045884316,0.19085436644893028,0.4828444332688527,0.21232157534308532,0.026121436903403322,0.7328188209658263,Depleted,0.09248626495210698,0.74
0.71,0.6761891401957165,0.302400932776136,0.14640513985100384,0.23225113025287766,0.19122613950185077,0.4823371864442412,0.21127521406490885,0.026922892209569393,0.7340723155925013,Depleted,0.09251254994880724,0.74
0.715,0.6777238554168685,0.3029353544052951,0.14666282215182969,0.23266312893289243,0.19159410138433763,0.481835996309067,0.21024035959080584,0.027715821252500356,0.7353087779060914,Depleted,0.09253874922938642,0.74
0.72,0.6792440889600679,0.30346408181235757,0.14691777638760584,0.23307081449547126,0.1919583098463145,0.48134075636861523,0.20921682350325194,0.028500359181913765,0.7365285280413488,Depleted,0.09256486315344065,0.74
0.725,0.6807500449429853,0.30398720465446033,0.14717004497401437,0.23347425355618734,0.19231882149022694,0.4808513625789316,0.20820442146012486,0.029276638315310466,0.7377318787291745,Depleted,0.09259089207910058,0.74
0.73,0.6822419236610268,0.3045048107365549,0.14741966946793145,0.2338735113839988,0.19267569179899663,0.4803677132780371,0.2072029730861587,0.03004478821119591,0.7389191354918365,Depleted,0.09261616133728216,0.74
